timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618856526728,499,HTTP Request,200,OK,BookStore 1-1,text,true,,14759,183,5,5,http://127.0.0.1:8000/bookstore/getallbooks/,499,0,1
1618856526830,463,HTTP Request,200,OK,BookStore 1-2,text,true,,187,183,5,5,http://127.0.0.1:8000/bookstore/getallbooks/,463,0,1
1618856527232,122,HTTP Request,200,OK,BookStore 1-6,text,true,,14759,183,5,5,http://127.0.0.1:8000/bookstore/getallbooks/,122,0,1
1618856527329,231,HTTP Request,200,OK,BookStore 1-7,text,true,,14759,183,6,6,http://127.0.0.1:8000/bookstore/getallbooks/,231,0,1
1618856527431,171,HTTP Request,200,OK,BookStore 1-8,text,true,,14759,183,5,5,http://127.0.0.1:8000/bookstore/getallbooks/,171,0,1
1618856526930,747,HTTP Request,200,OK,BookStore 1-3,text,true,,14759,183,5,5,http://127.0.0.1:8000/bookstore/getallbooks/,747,0,1
1618856527631,176,HTTP Request,200,OK,BookStore 1-10,text,true,,14759,183,4,4,http://127.0.0.1:8000/bookstore/getallbooks/,176,0,1
1618856527131,714,HTTP Request,200,OK,BookStore 1-5,text,true,,14759,183,3,3,http://127.0.0.1:8000/bookstore/getallbooks/,714,0,1
1618856527030,820,HTTP Request,200,OK,BookStore 1-4,text,true,,14759,183,2,2,http://127.0.0.1:8000/bookstore/getallbooks/,820,0,1
1618856527531,855,HTTP Request,200,OK,BookStore 1-9,text,true,,14759,183,1,1,http://127.0.0.1:8000/bookstore/getallbooks/,855,0,1
